Time,Latitude,Longitude,Depth(km),Magnitude,Location
2022-10-01T04:25:50.666Z,17.09,147.09,48.91,4.7,"251 km NE of Saipan, Northern Mariana Islands"
2022-10-01T04:25:10.001Z,53.79,-35.2,10.0,4.5,Reykjanes Ridge
2022-10-01T04:08:20.265Z,52.49,143.4,10.0,4.5,"79 km NNE of Nogliki, Russia"
2022-10-01T03:54:57.693Z,17.0,147.08,56.07,5.4,"243 km NE of Saipan, Northern Mariana Islands"
2022-10-01T03:34:03.795Z,-58.37,-23.37,10.0,4.4,South Sandwich Islands region
2022-10-01T02:41:34.770Z,58.35,-133.29,0.0,2.8,Southeastern Alaska
2022-10-01T02:40:06.723Z,36.37,137.04,264.17,4.0,"eastern Honshu, Japan"
2022-10-01T02:18:39.835Z,44.2,-115.1,10.0,2.5,"12 km W of Stanley, Idaho"
2022-10-01T02:06:09.232Z,53.81,-35.24,10.0,4.8,Reykjanes Ridge
2022-10-01T01:39:23.759Z,53.72,-35.56,10.0,4.5,Reykjanes Ridge
2022-10-01T01:28:21.536Z,53.72,-35.44,10.0,4.6,Reykjanes Ridge
2022-10-01T01:18:53.397Z,53.71,-35.54,10.0,6.0,Reykjanes Ridge
2022-09-30T23:23:35.109Z,60.47,-152.75,9.9,4.0,"75 km NW of Ninilchik, Alaska"
2022-09-30T22:52:43.612Z,-6.16,147.54,52.78,4.3,"55 km NW of Finschhafen, Papua New Guinea"
2022-09-30T21:44:22.922Z,2.08,129.08,10.0,4.8,"Halmahera, Indonesia"
2022-09-30T21:10:45.047Z,54.04,-35.17,10.0,4.6,Reykjanes Ridge
2022-09-30T20:37:38.875Z,2.03,98.96,11.44,5.0,"37 km NNE of Sibolga, Indonesia"
2022-09-30T19:52:05.767Z,53.9,-35.32,10.0,4.8,Reykjanes Ridge
2022-09-30T19:50:38.499Z,2.23,98.86,47.32,4.9,"47 km S of Tomok Bolon, Indonesia"
2022-09-30T19:28:40.257Z,2.11,98.92,19.01,5.9,"43 km NNE of Sibolga, Indonesia"
2022-09-30T19:23:14.650Z,19.48,-155.6,-1.53,2.67,"27 km E of Honaunau-Napoopoo, Hawaii"
2022-09-30T19:02:26.205Z,-21.89,-68.65,137.84,4.0,"68 km NNE of Calama, Chile"
2022-09-30T18:18:09.443Z,15.27,-94.35,51.03,4.5,"95 km SW of Cabeza de Toro, Mexico"
2022-09-30T17:32:35.898Z,12.26,-88.33,13.02,5.2,"108 km SSW of Intipucá, El Salvador"
2022-09-30T15:45:50.546Z,-14.22,167.35,197.49,4.6,"43 km SSW of Sola, Vanuatu"
2022-09-30T14:37:20.021Z,22.86,121.38,10.0,4.6,"99 km ESE of Yujing, Taiwan"
2022-09-30T14:31:11.020Z,9.42,126.49,35.0,4.3,"36 km ENE of Cortes, Philippines"
2022-09-30T14:30:23.877Z,-2.45,121.36,10.0,4.2,"135 km SSE of Poso, Indonesia"
2022-09-30T13:22:38.917Z,-20.03,-70.0,51.04,2.9,"25 km NE of Iquique, Chile"
2022-09-30T12:57:31.622Z,-6.64,104.69,42.83,4.5,"129 km WSW of Labuan, Indonesia"
2022-09-30T12:56:31.653Z,15.76,-88.44,10.0,4.1,Honduras-Guatemala border region
2022-09-30T12:35:38.670Z,17.94,-66.52,12.0,3.35,"5 km SSW of Potala Pastillo, Puerto Rico"
2022-09-30T12:21:08.090Z,53.68,-35.16,10.0,4.5,Reykjanes Ridge
2022-09-30T12:14:32.319Z,11.97,-88.47,10.0,4.4,"139 km SW of Jiquilillo, Nicaragua"
2022-09-30T12:09:28.960Z,-16.28,-75.49,10.0,4.6,"106 km SSW of San Juan, Peru"
2022-09-30T12:05:36.855Z,15.78,-88.4,10.0,4.1,Honduras-Guatemala border region
2022-09-30T11:50:11.750Z,33.48,-116.51,9.3,3.41,"17km ESE of Anza, CA"
2022-09-30T11:38:53.296Z,53.52,-35.39,10.0,4.6,Reykjanes Ridge
2022-09-30T11:38:34.039Z,-25.6,-175.45,10.0,5.0,south of Tonga
2022-09-30T11:26:52.977Z,-18.43,-175.71,264.33,4.6,Tonga
2022-09-30T11:05:51.610Z,19.24,-155.38,32.93,2.51,"11 km ENE of P?hala, Hawaii"
2022-09-30T10:55:18.730Z,17.71,-63.92,75.65,3.38,"71 km W of The Bottom, Bonaire, Saint Eustatius and Saba "
2022-09-30T09:24:37.819Z,-22.87,172.19,10.0,4.8,southeast of the Loyalty Islands
2022-09-30T09:07:44.310Z,18.26,-67.37,79.51,2.79,"14 km WSW of Stella, Puerto Rico"
2022-09-30T09:05:52.045Z,31.69,-104.48,5.46,3.2,"54 km S of Whites City, New Mexico"
2022-09-30T08:23:45.660Z,18.89,-64.4,34.6,3.28,"74 km NE of Cruz Bay, U.S. Virgin Islands"
2022-09-30T08:09:02.520Z,17.95,-66.52,13.05,2.77,"5 km SSW of Potala Pastillo, Puerto Rico"
2022-09-30T08:04:05.842Z,32.38,-101.1,7.9,2.8,"8 km WNW of Westbrook, Texas"
2022-09-30T07:55:13.420Z,17.94,-66.51,11.91,3.22,"5 km SSW of Potala Pastillo, Puerto Rico"
2022-09-30T07:41:13.582Z,-32.12,-71.78,32.09,4.3,"63 km NW of La Ligua, Chile"
2022-09-30T07:36:34.290Z,19.11,-64.7,32.94,3.41,"86 km N of Cruz Bay, U.S. Virgin Islands"
2022-09-30T07:35:33.692Z,-22.6,-68.53,123.85,4.0,"43 km ESE of Calama, Chile"
2022-09-30T07:23:00.670Z,17.95,-66.51,12.26,3.25,"5 km SSW of Potala Pastillo, Puerto Rico"
2022-09-30T07:22:28.940Z,0.03,96.58,10.0,4.4,"271 km S of Sinabang, Indonesia"
2022-09-30T06:38:09.712Z,52.44,-169.5,42.62,4.3,"70 km SW of Nikolski, Alaska"
2022-09-30T06:37:34.323Z,-31.9,179.88,365.4,4.7,Kermadec Islands region
2022-09-30T06:15:47.189Z,-45.77,-76.12,10.0,5.3,"259 km W of Puerto Chacabuco, Chile"
2022-09-30T06:09:44.027Z,31.68,-104.5,7.39,2.9,"56 km SSW of Whites City, New Mexico"
2022-09-30T06:07:50.709Z,-15.68,-172.89,10.0,4.3,"101 km ENE of Hihifo, Tonga"
2022-09-30T06:07:26.170Z,34.06,-116.95,13.24,2.53,"9km ENE of Yucaipa, CA"
2022-09-30T05:58:37.180Z,36.09,139.84,52.25,4.3,"3 km ESE of Sakai, Japan"
2022-09-30T05:49:51.950Z,18.21,-67.36,26.64,2.91,"17 km SW of Stella, Puerto Rico"
2022-09-30T05:37:24.629Z,31.67,-104.4,7.67,2.7,"56 km S of Whites City, New Mexico"
2022-09-30T05:33:48.010Z,19.23,-64.59,28.0,3.79,"101 km NNE of Cruz Bay, U.S. Virgin Islands"
2022-09-30T03:43:09.492Z,-3.78,144.25,10.0,5.0,"36 km NNE of Angoram, Papua New Guinea"
2022-09-30T03:22:17.397Z,53.81,-35.14,10.0,4.6,Reykjanes Ridge
2022-09-30T03:06:06.109Z,36.25,-115.15,11.9,2.5,Nevada
2022-09-30T02:59:02.553Z,9.45,126.73,35.0,4.8,"61 km ENE of Cortes, Philippines"
2022-09-30T02:27:33.910Z,19.47,-155.65,2.62,3.11,"22 km E of Honaunau-Napoopoo, Hawaii"
2022-09-30T02:26:22.573Z,-25.33,-176.7,82.1,4.9,south of the Fiji Islands
2022-09-30T02:23:16.263Z,24.8,94.85,10.0,4.6,"82 km E of Yairipok, India"
2022-09-30T02:19:52.080Z,32.22,142.44,10.0,4.9,"Izu Islands, Japan region"
2022-09-30T02:01:29.450Z,19.45,-66.24,28.0,3.55,Puerto Rico region
2022-09-30T01:52:30.330Z,19.29,-64.57,29.0,3.6,Virgin Islands
2022-09-30T01:48:47.960Z,19.21,-64.59,18.0,3.58,Virgin Islands
2022-09-30T01:33:04.780Z,19.09,-64.53,58.0,3.43,"88 km NNE of Cruz Bay, U.S. Virgin Islands"
2022-09-30T01:20:12.479Z,52.35,-169.51,42.89,4.6,"79 km SSW of Nikolski, Alaska"
2022-09-30T01:16:35.820Z,17.94,-66.51,11.56,2.62,Puerto Rico region
2022-09-30T01:09:29.178Z,9.46,126.69,35.0,4.5,"58 km ENE of Cortes, Philippines"
2022-09-30T00:57:47.471Z,-22.82,172.33,10.0,4.5,southeast of the Loyalty Islands
2022-09-30T00:21:50.068Z,-10.46,124.73,10.0,4.0,"81 km SE of Soe, Indonesia"
2022-09-30T00:06:01.720Z,17.94,-66.51,12.4,3.04,"5 km SSW of Potala Pastillo, Puerto Rico"
2022-09-29T23:59:13.570Z,44.78,-110.8,8.09,2.63,"23 km SSW of Mammoth, Wyoming"
2022-09-29T23:58:22.301Z,37.0,-104.87,7.43,2.5,"14 km S of Weston, Colorado"
2022-09-29T23:08:10.151Z,60.22,-141.19,11.2,5.1,"111 km NW of Yakutat, Alaska"
2022-09-29T23:02:43.203Z,0.14,-77.36,15.7,4.9,"52 km W of Nueva Loja, Ecuador"
2022-09-29T22:59:09.080Z,36.5,-98.42,7.81,3.09,"2 km ESE of Aline, Oklahoma"
2022-09-29T22:59:01.617Z,-22.95,172.22,11.0,5.7,southeast of the Loyalty Islands
2022-09-29T22:29:38.787Z,51.68,-178.79,21.21,3.2,"150 km W of Adak, Alaska"
2022-09-29T21:58:19.661Z,53.8,-35.67,10.0,4.5,Reykjanes Ridge
2022-09-29T21:49:03.422Z,39.55,40.52,10.0,4.3,"13 km N of Yedisu, Turkey"
2022-09-29T21:27:33.081Z,53.83,-35.22,10.0,4.5,Reykjanes Ridge
2022-09-29T21:09:14.726Z,-14.65,172.27,605.04,4.4,Vanuatu region
2022-09-29T20:47:02.194Z,53.57,-35.31,10.0,4.5,Reykjanes Ridge
2022-09-29T20:45:51.862Z,-2.91,128.02,10.0,4.1,"88 km NNW of Ambon, Indonesia"
2022-09-29T20:29:21.550Z,17.94,-66.51,11.65,2.77,"6 km SSW of Potala Pastillo, Puerto Rico"
2022-09-29T19:47:06.155Z,53.53,-35.23,10.0,4.4,Reykjanes Ridge
2022-09-29T19:10:24.898Z,55.02,-159.52,35.22,4.3,Alaska Peninsula
2022-09-29T18:52:14.310Z,51.25,178.69,27.35,4.1,"Rat Islands, Aleutian Islands, Alaska"
2022-09-29T17:25:36.422Z,53.89,-35.41,10.0,4.4,Reykjanes Ridge
2022-09-29T15:48:20.937Z,18.4,-155.01,10.0,2.8,"95 km SE of Naalehu, Hawaii"
2022-09-29T15:32:30.702Z,53.75,-35.19,10.0,5.7,Reykjanes Ridge
2022-09-29T15:14:40.210Z,2.78,128.53,220.5,4.6,"129 km NNE of Tobelo, Indonesia"
2022-09-29T15:11:02.793Z,53.84,-35.2,10.0,4.8,Reykjanes Ridge
2022-09-29T15:09:49.072Z,-28.9,-69.86,145.29,4.0,"95 km ESE of Vallenar, Chile"
2022-09-29T15:09:34.627Z,47.7,-128.67,13.64,3.2,"260 km SW of Tofino, Canada"
2022-09-29T15:03:38.339Z,36.78,140.6,6.39,4.7,"12 km NW of Takahagi, Japan"
2022-09-29T15:03:35.685Z,5.9,-84.42,10.0,4.6,"291 km SW of Burica, Panama"
2022-09-29T14:16:14.230Z,19.47,-155.6,-1.66,2.5,"28 km E of Honaunau-Napoopoo, Hawaii"
2022-09-29T14:12:14.877Z,9.54,-84.86,13.89,3.9,"26 km WSW of Jacó, Costa Rica"
2022-09-29T14:12:09.930Z,19.19,-155.49,32.57,3.22,"1 km SW of P?hala, Hawaii"
2022-09-29T12:16:39.167Z,53.48,-35.27,10.0,4.7,Reykjanes Ridge
2022-09-29T11:34:44.488Z,-2.43,139.85,20.56,5.4,"89 km WNW of Abepura, Indonesia"
2022-09-29T09:16:06.639Z,58.62,-154.07,86.3,2.7,"92 km NW of Aleneva, Alaska"
2022-09-29T08:41:19.088Z,4.96,-82.73,10.0,4.3,south of Panama
2022-09-29T08:14:52.150Z,53.31,-35.47,10.0,4.7,Reykjanes Ridge
2022-09-29T07:50:12.859Z,53.46,-35.54,10.0,4.7,Reykjanes Ridge
2022-09-29T07:20:15.886Z,31.72,-104.09,6.77,2.7,"46 km W of Mentone, Texas"
2022-09-29T06:58:37.825Z,53.46,-34.88,10.0,4.7,Reykjanes Ridge
2022-09-29T06:57:16.000Z,19.37,-65.53,30.0,3.67,"109 km NNE of Vieques, Puerto Rico"
2022-09-29T05:43:12.447Z,-19.82,169.8,269.12,4.1,"62 km ESE of Isangel, Vanuatu"
2022-09-29T05:38:52.147Z,53.74,-35.22,10.0,4.6,Reykjanes Ridge
2022-09-29T04:51:41.242Z,53.77,-35.32,10.0,4.4,Reykjanes Ridge
2022-09-29T04:48:28.404Z,-7.54,127.57,146.14,4.0,"125 km NNE of Lospalos, Timor Leste"
2022-09-29T04:45:07.033Z,53.75,-35.19,10.0,4.8,Reykjanes Ridge
2022-09-29T04:32:42.781Z,13.56,-91.05,35.0,4.3,near the coast of Guatemala
2022-09-29T04:08:22.612Z,53.85,-35.19,10.0,5.0,Reykjanes Ridge
2022-09-29T04:04:12.883Z,53.56,-35.35,10.0,4.3,Reykjanes Ridge
2022-09-29T04:01:24.138Z,37.84,19.99,35.0,4.4,"56 km SW of Lixoúri, Greece"
2022-09-29T03:22:05.170Z,53.77,-35.14,10.0,4.2,Reykjanes Ridge
2022-09-29T03:19:50.947Z,-60.85,-19.84,10.0,4.4,east of the South Sandwich Islands
2022-09-29T03:12:29.326Z,-60.63,-19.75,10.0,4.3,east of the South Sandwich Islands
2022-09-29T03:03:24.076Z,-60.84,-20.03,11.0,6.5,east of the South Sandwich Islands
2022-09-29T03:00:15.240Z,38.15,-117.97,9.3,3.1,"29 km SSE of Mina, Nevada"
2022-09-29T02:47:43.001Z,53.83,-35.25,10.0,4.1,Reykjanes Ridge
2022-09-29T02:45:20.661Z,53.75,-35.29,10.0,4.2,Reykjanes Ridge
2022-09-29T02:39:34.985Z,54.23,-35.02,10.0,4.3,Reykjanes Ridge
2022-09-29T02:23:59.484Z,53.39,-35.22,10.0,5.3,Reykjanes Ridge
2022-09-29T02:15:47.353Z,53.66,-35.28,10.0,4.5,Reykjanes Ridge
2022-09-29T01:36:23.911Z,53.71,-35.22,10.0,4.6,Reykjanes Ridge
2022-09-29T01:22:13.830Z,17.09,147.12,35.0,4.8,"254 km NE of Saipan, Northern Mariana Islands"
2022-09-29T01:06:09.334Z,35.64,23.25,46.06,4.3,"40 km WNW of Kíssamos, Greece"
2022-09-29T00:42:37.853Z,-13.99,166.78,11.81,4.7,"84 km W of Sola, Vanuatu"
2022-09-29T00:38:28.532Z,53.8,-35.18,10.0,4.9,Reykjanes Ridge
2022-09-29T00:31:06.860Z,19.48,-155.59,-1.17,2.67,"29 km E of Honaunau-Napoopoo, Hawaii"
2022-09-29T00:02:01.230Z,17.97,-66.52,6.31,2.88,"3 km SW of Potala Pastillo, Puerto Rico"
2022-09-28T23:42:40.004Z,53.76,-35.56,10.0,4.5,Reykjanes Ridge
2022-09-28T23:09:32.060Z,55.54,160.59,137.8,4.5,"60 km E of Atlasovo, Russia"
2022-09-28T23:06:37.620Z,17.95,-66.52,9.38,3.02,"5 km SSW of Potala Pastillo, Puerto Rico"
2022-09-28T22:34:47.730Z,8.54,-102.73,10.0,5.5,northern East Pacific Rise
2022-09-28T21:41:07.022Z,16.95,147.18,29.87,5.1,"245 km NE of Saipan, Northern Mariana Islands"
2022-09-28T21:34:04.595Z,17.86,-61.53,29.8,4.3,"40 km NE of Codrington, Antigua and Barbuda"
2022-09-28T21:11:18.470Z,53.62,-35.17,10.0,4.7,Reykjanes Ridge
2022-09-28T20:10:43.819Z,32.36,142.65,10.0,4.4,"Izu Islands, Japan region"
2022-09-28T20:03:59.521Z,-14.28,-73.67,82.92,4.6,"17 km SW of Pampachiri, Peru"
2022-09-28T20:03:32.699Z,53.55,-35.37,10.0,4.4,Reykjanes Ridge
2022-09-28T19:59:07.777Z,53.32,-35.47,10.0,4.4,Reykjanes Ridge
2022-09-28T19:48:40.021Z,17.71,-61.64,38.4,5.2,"22 km ENE of Codrington, Antigua and Barbuda"
2022-09-28T19:32:34.206Z,-22.47,-174.64,10.0,4.6,Tonga region
2022-09-28T19:03:43.896Z,54.1,-35.07,10.0,4.3,Reykjanes Ridge
2022-09-28T18:53:43.612Z,-3.41,146.28,10.0,4.6,"187 km SW of Lorengau, Papua New Guinea"
2022-09-28T18:28:39.502Z,64.83,-149.02,15.9,2.6,"25 km N of Four Mile Road, Alaska"
2022-09-28T18:27:52.509Z,53.82,-35.33,10.0,4.5,Reykjanes Ridge
2022-09-28T18:18:20.743Z,53.99,-34.9,10.0,4.5,Reykjanes Ridge
2022-09-28T18:03:28.841Z,27.64,54.22,17.41,4.7,"8 km ESE of Ger?sh, Iran"
2022-09-28T17:56:23.024Z,53.83,-35.08,10.0,4.7,Reykjanes Ridge
2022-09-28T17:50:32.154Z,17.01,146.97,39.8,4.4,"237 km NNE of Saipan, Northern Mariana Islands"
2022-09-28T17:45:20.796Z,17.05,147.14,33.05,4.2,"251 km NE of Saipan, Northern Mariana Islands"
2022-09-28T17:44:36.286Z,53.77,-35.32,10.0,4.4,Reykjanes Ridge
2022-09-28T17:35:11.271Z,16.98,147.07,26.33,5.1,Mariana Islands region
2022-09-28T17:33:33.667Z,17.07,147.6,10.0,4.5,"285 km NE of Saipan, Northern Mariana Islands"
2022-09-28T17:02:02.090Z,37.5,-121.62,7.61,3.35,"24km NE of Alum Rock, CA"
2022-09-28T16:18:02.895Z,33.34,46.84,10.0,4.3,"50 km SE of ?l?m, Iran"
2022-09-28T16:11:30.039Z,-17.52,-178.88,549.45,4.3,"201 km ENE of Levuka, Fiji"
2022-09-28T15:37:42.878Z,53.87,-35.35,10.0,4.6,Reykjanes Ridge
2022-09-28T15:15:09.558Z,53.81,-35.23,10.0,4.6,Reykjanes Ridge
2022-09-28T15:13:46.725Z,-45.83,-75.9,10.0,4.6,"243 km W of Puerto Chacabuco, Chile"
2022-09-28T15:09:10.494Z,53.85,-166.79,4.13,2.7,"17 km WSW of Dutch Harbor, Alaska"
2022-09-28T13:20:48.370Z,53.87,-35.27,10.0,4.6,Reykjanes Ridge
2022-09-28T13:01:31.340Z,17.96,-66.91,11.12,2.51,"0 km S of Guánica, Puerto Rico"
2022-09-28T12:32:34.152Z,53.48,-35.2,10.0,4.2,Reykjanes Ridge
2022-09-28T12:30:44.120Z,53.75,-35.52,10.0,4.6,Reykjanes Ridge
2022-09-28T12:13:36.124Z,14.48,92.95,10.0,4.6,"Andaman Islands, India region"
2022-09-28T12:13:09.577Z,53.72,-35.22,10.0,4.5,Reykjanes Ridge
2022-09-28T11:47:52.829Z,-25.61,-70.54,72.08,4.4,"Near the coast of Antofagasta, Chile"
2022-09-28T11:41:39.151Z,2.73,128.15,73.15,4.6,"112 km N of Tobelo, Indonesia"
2022-09-28T11:18:44.713Z,45.97,-27.49,10.0,4.3,northern Mid-Atlantic Ridge
2022-09-28T10:47:08.745Z,32.28,142.64,10.0,4.3,"Izu Islands, Japan region"
2022-09-28T10:46:54.297Z,32.24,142.76,10.0,4.2,"Izu Islands, Japan region"
2022-09-28T10:39:16.263Z,18.04,-103.47,10.0,4.2,"55 km SSE of La Placita de Morelos, Mexico"
2022-09-28T10:32:16.802Z,32.37,142.63,10.0,4.5,"Izu Islands, Japan region"
2022-09-28T10:13:09.682Z,-54.68,159.04,9.37,4.4,Macquarie Island region
2022-09-28T10:03:05.654Z,53.78,-35.17,10.0,5.0,Reykjanes Ridge
2022-09-28T09:53:12.116Z,-3.12,-77.01,57.81,4.4,"74 km WNW of Alianza Cristiana, Peru"
2022-09-28T09:51:32.300Z,53.65,-35.15,10.0,4.4,Reykjanes Ridge
2022-09-28T09:50:58.167Z,53.86,-35.25,10.0,4.7,Reykjanes Ridge
2022-09-28T09:24:06.225Z,32.34,142.66,10.0,4.4,"Izu Islands, Japan region"
2022-09-28T08:28:39.491Z,53.88,-35.17,10.0,4.6,Reykjanes Ridge
2022-09-28T07:59:37.542Z,53.72,-35.55,10.0,4.9,Reykjanes Ridge
2022-09-28T07:58:36.100Z,17.88,-66.88,13.31,2.7,"11 km SSE of Guánica, Puerto Rico"
2022-09-28T06:46:22.419Z,54.04,-35.34,10.0,5.0,Reykjanes Ridge
2022-09-28T06:34:27.311Z,-58.04,-25.58,66.46,5.2,South Sandwich Islands region
2022-09-28T06:22:07.699Z,9.29,126.57,37.16,4.4,"41 km E of Cortes, Philippines"
2022-09-28T06:09:46.604Z,53.68,-35.06,10.0,4.7,Reykjanes Ridge
2022-09-28T06:03:10.383Z,-4.3,152.85,10.01,4.7,"64 km E of Kokopo, Papua New Guinea"
2022-09-28T04:52:57.917Z,53.84,-35.45,10.0,4.5,Reykjanes Ridge
2022-09-28T04:47:59.143Z,-22.82,171.58,10.0,5.4,southeast of the Loyalty Islands
2022-09-28T04:36:53.115Z,-8.55,111.2,127.3,4.0,"74 km S of Jatiroto, Indonesia"
2022-09-28T04:20:57.791Z,2.99,126.18,55.75,4.6,Molucca Sea
2022-09-28T03:57:13.442Z,24.38,107.41,10.0,4.3,"97 km ENE of Baise City, China"
2022-09-28T03:46:33.713Z,0.12,99.95,10.0,4.5,"67 km NW of Bukittinggi, Indonesia"
2022-09-28T03:43:28.470Z,3.23,126.9,35.0,4.5,"206 km NW of Tobelo, Indonesia"
2022-09-28T03:43:01.800Z,18.53,-65.59,86.0,3.12,"22 km NE of Luquillo, Puerto Rico"
2022-09-28T03:41:35.736Z,53.68,-35.21,10.0,4.6,Reykjanes Ridge
2022-09-28T03:28:41.963Z,53.67,-35.37,10.0,4.5,Reykjanes Ridge
2022-09-28T03:23:22.895Z,-19.27,-69.97,61.14,4.2,"94 km SSE of Arica, Chile"
2022-09-28T02:39:28.809Z,9.19,126.26,54.76,4.7,"9 km E of Tigao, Philippines"
2022-09-28T02:22:36.149Z,53.7,-35.21,10.0,4.5,Reykjanes Ridge
2022-09-28T02:17:14.785Z,26.94,-111.42,10.0,4.2,"56 km E of Mulegé, Mexico"
2022-09-28T01:50:11.634Z,35.89,22.11,43.03,4.5,"84 km WSW of Kýthira, Greece"
2022-09-28T01:43:26.134Z,53.84,-35.17,10.0,4.8,Reykjanes Ridge
2022-09-28T01:18:24.940Z,26.98,-111.37,10.0,5.4,"61 km E of Mulegé, Mexico"
2022-09-28T01:12:25.024Z,9.39,126.58,35.0,5.2,"44 km ENE of Cortes, Philippines"
2022-09-28T00:59:41.325Z,53.9,-35.08,10.0,4.6,Reykjanes Ridge
2022-09-28T00:55:08.898Z,53.74,-35.19,10.0,4.9,Reykjanes Ridge
2022-09-28T00:16:09.437Z,53.82,-35.31,10.0,4.4,Reykjanes Ridge
2022-09-27T23:41:29.021Z,53.71,-35.36,10.0,4.4,Reykjanes Ridge
2022-09-27T23:26:03.460Z,53.84,-35.28,10.0,4.4,Reykjanes Ridge
2022-09-27T23:15:29.896Z,53.8,-35.26,10.0,4.6,Reykjanes Ridge
2022-09-27T23:13:32.390Z,53.74,-35.27,10.0,4.7,Reykjanes Ridge
2022-09-27T22:43:58.210Z,19.24,-155.4,32.18,4.45,"9 km ENE of P?hala, Hawaii"
2022-09-27T22:33:02.663Z,53.71,-35.47,10.0,4.5,Reykjanes Ridge
2022-09-27T22:28:51.963Z,53.74,-35.19,10.0,4.6,Reykjanes Ridge
2022-09-27T21:58:35.209Z,53.86,-35.2,10.0,4.5,Reykjanes Ridge
2022-09-27T21:50:33.514Z,27.63,56.49,10.0,4.2,"53 km NNE of Bandar Abbas, Iran"
2022-09-27T21:32:25.287Z,53.76,-35.35,10.0,4.5,Reykjanes Ridge
